kepmag,16.725
ra,08:14:37.51
dec,20:10:44.93
teff,4616.625042967518
teffep,239.9418421438113
teffem,256.1124473457612
logg,4.706232812449424
loggep,0.07135201793738677
loggem,0.07321313368426274
lum,0.13223865492116982
lumep,0.03101431071064681
lumem,0.03016182103450854
rad,0.5577289129471275
radep,0.09769548192897926
radem,0.06614012551578075
mass,0.5866691445937023
massep,0.09464952207144262
massem,0.052546976966899694
rho_gcm3,4.625422302386935
rho_gcm3ep,1.5469728453010099
rho_gcm3em,1.3022504311046723
dis,624.1833043735002
disep,89.01987770472988
disem,95.20794594431095
source,isoclassify
rho,3.2781164439312085
rhoem,0.9229273076574573
rhoep,1.0963662971658468
